id,first_name,email,role,eca-activity
1,kimmis,khowett0@apple.com,Student,Football
3,Shushank,rpear2@mlb.com,Student,Cricket
5,Bat,bgirtin4@jalbum.net,Student,Tennis
8,Thibaud,tbyford7@columbia.edu,Student,Music
9,Corenda,cfissenden8@jigsy.com,Student,Dance
12,Keri,klovieb@nifty.com,Student,Basketball
14,Zebadiah,zjakabd@infoseek.co.jp,Student,Football
17,Conney,cquereeg@technorati.com,Student,Cricket
19,Kevon,kdeclercqi@netvibes.com,Student,Tennis
21,Nickolaus,nbossinghamk@php.net,Student,Music
24,Janey,jgingeln@comcast.net,Student,Dance
26,Heidie,hghidinip@sciencedirect.com,Student,Basketball
29,Brigid,bburgises@comcast.net,Student,Football
31,Eugene,edronsfieldu@mtv.com,Student,Cricket
34,Kristo,kschollx@51.la,Student,Tennis
36,Clarita,cchilesz@walmart.com,Student,Music
39,Gusti,greaveley12@multiply.com,Student,Dance
41,Brunhilde,bdartnell14@booking.com,Student,Basketball
44,Brigitta,bmuckian17@de.vu,Student,Football
46,Teddy,tnind19@ebay.com,Student,Cricket
49,Lezlie,lmainds1c@examiner.com,Student,Tennis
