id,first_name,email,physics,chemistry,maths
1,kimmis,khowett0@apple.com,32,38,48
3,Ronny,rpear2@mlb.com,12,26,49
5,Bat,bgirtin4@jalbum.net,96,43,91
8,Thibaud,tbyford7@columbia.edu,77,64,37
9,Corenda,cfissenden8@jigsy.com,24,56,58
12,Keri,klovieb@nifty.com,72,22,33
14,Zebadiah,zjakabd@infoseek.co.jp,20,71,46
17,Conney,cquereeg@technorati.com,98,14,44
19,Kevon,kdeclercqi@netvibes.com,20,41,74
21,Nickolaus,nbossinghamk@php.net,63,15,46
24,Janey,jgingeln@comcast.net,16,45,96
26,Heidie,hghidinip@sciencedirect.com,77,76,49
29,Brigid,bburgises@comcast.net,53,45,70
31,Eugene,edronsfieldu@mtv.com,56,98,12
34,Kristo,kschollx@51.la,90,32,35
36,Clarita,cchilesz@walmart.com,71,30,93
39,Gusti,greaveley12@multiply.com,24,75,59
41,Brunhilde,bdartnell14@booking.com,60,64,79
44,Brigitta,bmuckian17@de.vu,85,70,93
46,Teddy,tnind19@ebay.com,65,30,72
49,Lezlie,lmainds1c@examiner.com,66,20,30
