id,email,password
1,khowett0@apple.com,5t@ck
2,icutridge1@webnode.com,Ch@rm
3,rpear2@mlb.com,H0p3!
4,sthurlbeck3@163.com,D3cay
5,bgirtin4@jalbum.net,W1s3r
6,crasmus5@mapquest.com,Tr@ck
7,lhallin6@pinterest.com,L1ght
8,tbyford7@columbia.edu,Bl@nk
9,cfissenden8@jigsy.com,T1m3!
10,lesby9@geocities.com,W@tch
11,aanniesa@state.gov,M1sty
12,klovieb@nifty.com,4ppl3
13,ksonscheinc@bandcamp.com,C@k3!
14,zjakabd@infoseek.co.jp,W1r3s
15,jhelline@phpbb.com,C@k3y
16,rchealf@marriott.com,R3m1x
17,cquereeg@technorati.com,Sh1ny
18,dgiacobazzih@engadget.com,B@ngs
19,kdeclercqi@netvibes.com,D@zzl
20,agreadyj@dell.com,Sn@ck
21,nbossinghamk@php.net,Tr3nd
22,cpallisterl@tripadvisor.com,F1zz!
23,mkrystofm@virginia.edu,M3rch
24,jgingeln@comcast.net,Gl@z3
25,skeysero@yolasite.com,J@zz!
26,hghidinip@sciencedirect.com,M@k3r
27,lhoylesq@harvard.edu,L@ugh
28,bmellerr@nps.gov,H3r0!
29,bburgises@comcast.net,N3xt!
30,sgronewayt@nbcnews.com,5m@sh
31,edronsfieldu@mtv.com,W@lk3
32,cdavidsonv@ft.com,J0yf1
33,cblampyw@sitemeter.com,4l1v3
34,kschollx@51.la,C0ff3
35,bharringtony@dailymail.co.uk,T@st3
36,cchilesz@walmart.com,Gr1ll
37,rlundon10@mac.com,H0rn5
38,tyeldham11@theglobeandmail.com,B@cky
39,greaveley12@multiply.com,5h@rp
40,fgiacomi13@usatoday.com,L0g1c
41,bdartnell14@booking.com,W@vy!
42,nbirkby15@ustream.tv,L@zy!
43,dmingame16@nyu.edu,5t@mp
44,bmuckian17@de.vu,R0cky
45,cmanton18@webs.com,P0cky
46,tnind19@ebay.com,R@iny
47,bbrewin1a@wikimedia.org,5w@rm
48,fpawelek1b@geocities.com,5m@rt
49,lmainds1c@examiner.com,5@lty
50,ybraidman1d@reverbnation.com,Nir87
51,ishan@gmail.com,ish12
